Unnamed: 0,name,full_name,description,forks_count,stargazers_count,watchers_count,open_issues_count
7618,xrestop,src-openeuler/xrestop,,3,0,181,0
2086,libpfm,src-openeuler/libpfm,,6,0,180,0
2502,mpg123,src-openeuler/mpg123,,4,0,179,1
3366,perl-Class-Inspector,src-openeuler/perl-Class-Inspector,,3,0,179,0
4172,perl-Package-Generator,src-openeuler/perl-Package-Generator,,2,0,179,0
2232,lksctp-tools,src-openeuler/lksctp-tools,,6,0,179,0
3674,perl-File-ShareDir,src-openeuler/perl-File-ShareDir,,2,0,179,0
1765,khmeros-fonts,src-openeuler/khmeros-fonts,,3,0,179,2
1172,hivex,src-openeuler/hivex,,6,0,179,0
6668,rrdtool,src-openeuler/rrdtool,,7,0,178,1
7473,wsmancli,src-openeuler/wsmancli,,3,0,178,1
7643,yum-metadata-parser,src-openeuler/yum-metadata-parser,,3,0,146,2
1034,golang-googlecode-goprotobuf,src-openeuler/golang-googlecode-goprotobuf,,2,0,145,1
1032,golang-github-vishvananda-netns,src-openeuler/golang-github-vishvananda-netns,Simple network namespace handing for go.,2,0,145,0
1031,golang-github-vishvananda-netlink,src-openeuler/golang-github-vishvananda-netlink,,2,0,145,1
1030,golang-github-russross-blackfriday,src-openeuler/golang-github-russross-blackfriday,,1,0,145,0
1026,golang-github-golang-sys,src-openeuler/golang-github-golang-sys,,1,0,145,0
1023,golang-github-d2g-dhcp4,src-openeuler/golang-github-d2g-dhcp4,,1,0,145,0
1022,golang-github-cpuguy83-go-md2man,src-openeuler/golang-github-cpuguy83-go-md2man,,3,0,145,0
1021,golang-github-coreos-go-iptables,src-openeuler/golang-github-coreos-go-iptables,,1,0,145,0
6612,redhat-menus,src-openeuler/redhat-menus,,4,0,144,0
7018,shim-unsigned-aarch64,src-openeuler/shim-unsigned-aarch64,,2,0,144,0
973,gnome-icon-theme-symbolic,src-openeuler/gnome-icon-theme-symbolic,,2,0,142,0
984,gnome-python2,src-openeuler/gnome-python2,,1,0,142,0
972,gnome-icon-theme-extras,src-openeuler/gnome-icon-theme-extras,,1,0,142,0
1941,liberation-sans-fonts,src-openeuler/liberation-sans-fonts,,4,0,142,1
2435,mesa-libGLw,src-openeuler/mesa-libGLw,,2,0,141,0
3025,open-isns,src-openeuler/open-isns,,9,0,140,0
2488,mongodb,src-openeuler/mongodb,,9,0,140,0
1400,infiniband-diags,src-openeuler/infiniband-diags,,2,0,138,0
6950,rust,src-openeuler/rust,,16,1,137,9
2178,libvma,src-openeuler/libvma,,5,0,137,1
4389,perl-Sys-Virt,src-openeuler/perl-Sys-Virt,,5,0,137,0
1375,icedtea-web,src-openeuler/icedtea-web,,8,0,136,2
7010,shadow,src-openeuler/shadow,,6,0,135,2
3036,openEuler-rpm-config,src-openeuler/openEuler-rpm-config,,16,0,135,2
4456,perl-Test-File,src-openeuler/perl-Test-File,,5,0,135,0
376,clang,src-openeuler/clang,,13,0,135,5
2175,libvirt-glib,src-openeuler/libvirt-glib,,4,0,135,0
4787,php,src-openeuler/php,PHP scripting language for creating dynamic web sites,15,0,134,1
1789,ksh,src-openeuler/ksh,,6,0,134,0
2017,libkae,src-openeuler/libkae,,5,0,134,2
1100,gtk-doc,src-openeuler/gtk-doc,,5,0,134,1
7417,virt-viewer,src-openeuler/virt-viewer,,2,0,134,0
422,conntrack-tools,src-openeuler/conntrack-tools,,6,0,134,0
2185,libwd,src-openeuler/libwd,,5,0,134,1
7416,virt-manager,src-openeuler/virt-manager,,4,1,134,2
2065,libnetfilter_cttimeout,src-openeuler/libnetfilter_cttimeout,,2,0,134,0
2064,libnetfilter_cthelper,src-openeuler/libnetfilter_cthelper,,2,0,134,0
1690,kae_driver,src-openeuler/kae_driver,,6,0,134,2
598,docker-compose,src-openeuler/docker-compose,,4,0,134,1
4876,prefetch_tuning,src-openeuler/prefetch_tuning,,3,0,134,0
1647,jq,src-openeuler/jq,,6,0,133,0
4373,perl-Sub-Uplevel,src-openeuler/perl-Sub-Uplevel,,0,0,133,0
2287,lutok,src-openeuler/lutok,,2,0,133,0
23,Judy,src-openeuler/Judy,,1,0,133,0
2114,libsass,src-openeuler/libsass,,4,0,133,1
832,future,src-openeuler/future,,5,0,133,0
332,capstone,src-openeuler/capstone,,4,0,133,0
3624,perl-ExtUtils-MakeMaker,src-openeuler/perl-ExtUtils-MakeMaker,,8,0,133,0
389,cloud-utils,src-openeuler/cloud-utils,Cloud image management utilities,3,0,133,0
688,epydoc,src-openeuler/epydoc,,2,0,133,2
1008,gnulib,src-openeuler/gnulib,,5,0,133,1
417,compiler-rt,src-openeuler/compiler-rt,,7,0,133,3
415,compat-openssl10,src-openeuler/compat-openssl10,,2,0,133,0
1811,kyua,src-openeuler/kyua,,2,0,133,0
1966,libgit2,src-openeuler/libgit2,,4,0,133,0
2413,mcelog,src-openeuler/mcelog,,6,0,133,0
